 Sorter   quick    Tim    Insert  Intro   Quick 
 sorted  4.6e-01 8.7e-02 8.6e-02 3.7e+02 1.8e+02
randLess 8.1e-01 4.1e+01 4.2e+01 1.4e+01 3.7e+00
randHalf 2.3e+00 1.1e+02 6.0e+01 1.1e+01 1.6e+00
randHead 7.0e+01 4.8e+01 2.7e+01 2.0e+02 4.0e+01
randTail 2.7e+00 4.8e+01 2.5e+01 4.7e+01 1.3e+02
similar  1.3e+00 2.2e+02 1.6e+02 8.7e+00 1.8e+00
randFull 1.5e+00 2.6e+02 1.7e+02 8.7e+00 1.8e+00
 mount   1.1e+00 1.0e+02 1.0e+02 2.8e+01 2.1e+00
 valley  1.1e+00 7.4e+01 7.9e+01 3.1e+01 7.5e+00
  flip   2.8e-01 1.2e-01 2.3e+02 2.7e+01 2.1e+02
